[DEBUG] 2020-03-27 20:18:45.962 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-03-27 20:18:45.962 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-03-27 20:18:45.978 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-03-27 20:18:46.041 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-03-27 20:18:46.041 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-03-27 20:18:46.244 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-03-27 20:18:46.244 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-03-27 20:18:46.244 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-03-27 20:18:46.525 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-03-27 20:18:46.541 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-03-27 20:18:46.541 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-03-27 20:18:46.572 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4da9f723
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4da9f723
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4da9f723
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@451882b2
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6ec65b5e
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@263bbfeb
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6d469831
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6d469831
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6d469831
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1460c81d
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1460c81d
[DEBUG] 2020-03-27 20:18:46.603 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1460c81d
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45e22def
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@45e22def
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@45e22def
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@7c129ef6
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@7c129ef6
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@7c129ef6
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7f7af971
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7f7af971
[DEBUG] 2020-03-27 20:18:46.619 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7f7af971
