[INFO ] 2020-03-27 20:10:57.428 [main] ReminderTest - Reminder1
[INFO ] 2020-03-27 20:11:40.218 [main] ReminderTest - Reminder1
[INFO ] 2020-03-27 20:13:34.021 [main] ReminderTest - Reminder1
[INFO ] 2020-03-27 20:14:56.142 [main] ReminderTest - Reminder1 Description test
[ERROR] 2020-03-27 20:18:45.900 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:19:52.717 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:20:04.937 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:21:28.475 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:21:43.964 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:25:26.676 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:30:16.436 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:30:32.151 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:33:10.209 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:34:05.789 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:39:43.557 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:40:27.466 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:41:20.675 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 20:45:48.141 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:01:35.094 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:02:12.803 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:02:27.526 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:03:30.590 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:03:45.534 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:04:22.111 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:06:30.389 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
[ERROR] 2020-03-27 21:06:54.305 [main] Database - java.sql.SQLSyntaxErrorException: Table 'preschoolforward.admin' doesn't exist
