[DEBUG] 2020-02-17 19:39:33.893 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-17 19:39:33.911 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-17 19:39:33.930 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-17 19:39:34.146 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-17 19:39:34.156 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-17 19:39:34.661 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-17 19:39:35.409 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-17 19:39:35.472 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-17 19:39:35.473 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-17 19:39:35.516 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-17 19:39:35.635 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@74fef3f7
[DEBUG] 2020-02-17 19:39:35.636 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@74fef3f7
[DEBUG] 2020-02-17 19:39:35.636 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@74fef3f7
[DEBUG] 2020-02-17 19:39:35.644 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5bb8f9e2
[DEBUG] 2020-02-17 19:39:35.644 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4d8539de
[DEBUG] 2020-02-17 19:39:35.645 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@67207d8a
[DEBUG] 2020-02-17 19:39:35.645 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3b152928
[DEBUG] 2020-02-17 19:39:35.645 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@3b152928
[DEBUG] 2020-02-17 19:39:35.646 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3b152928
[DEBUG] 2020-02-17 19:39:35.652 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6331250e
[DEBUG] 2020-02-17 19:39:35.652 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6331250e
[DEBUG] 2020-02-17 19:39:35.652 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6331250e
[DEBUG] 2020-02-17 19:39:35.653 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5f462e3b
[DEBUG] 2020-02-17 19:39:35.653 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5f462e3b
[DEBUG] 2020-02-17 19:39:35.653 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5f462e3b
[DEBUG] 2020-02-17 19:39:35.658 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6ad11a56
[DEBUG] 2020-02-17 19:39:35.659 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6ad11a56
[DEBUG] 2020-02-17 19:39:35.659 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6ad11a56
[DEBUG] 2020-02-17 19:39:35.660 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@69ce2f62
[DEBUG] 2020-02-17 19:39:35.660 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@69ce2f62
[DEBUG] 2020-02-17 19:39:35.660 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@69ce2f62
[DEBUG] 2020-02-17 19:39:35.660 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@732bb66d
[DEBUG] 2020-02-17 19:39:35.661 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@732bb66d
[DEBUG] 2020-02-17 19:39:35.661 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@732bb66d
[DEBUG] 2020-02-17 19:39:35.662 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1517f633
[DEBUG] 2020-02-17 19:39:35.662 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@1517f633
[DEBUG] 2020-02-17 19:39:35.662 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@1517f633
[DEBUG] 2020-02-17 19:39:35.667 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@312afbc7
[DEBUG] 2020-02-17 19:39:35.667 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@312afbc7
[DEBUG] 2020-02-17 19:39:35.668 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2d7e1102
[DEBUG] 2020-02-17 19:39:35.668 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2d7e1102
[DEBUG] 2020-02-17 19:39:35.668 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@6a74d228
[DEBUG] 2020-02-17 19:39:35.668 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@6a74d228
[DEBUG] 2020-02-17 19:39:35.669 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@72ba28ee
[DEBUG] 2020-02-17 19:39:35.669 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@4917d36b
[DEBUG] 2020-02-17 19:39:35.674 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@4905c46b
[DEBUG] 2020-02-17 19:39:35.675 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@4905c46b
[DEBUG] 2020-02-17 19:39:35.678 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@693e4d19
[DEBUG] 2020-02-17 19:39:35.690 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@693e4d19
[DEBUG] 2020-02-17 19:39:35.700 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5b78fdb1
[DEBUG] 2020-02-17 19:39:35.700 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5b78fdb1
[DEBUG] 2020-02-17 19:39:35.706 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@3e9803c2
[DEBUG] 2020-02-17 19:39:35.707 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@3e9803c2
[DEBUG] 2020-02-17 19:39:35.708 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7808fb9
[DEBUG] 2020-02-17 19:39:35.708 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7808fb9
[DEBUG] 2020-02-17 19:39:35.709 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@a567e72
[DEBUG] 2020-02-17 19:39:35.709 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@a567e72
[DEBUG] 2020-02-17 19:39:35.711 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@cda0432
[DEBUG] 2020-02-17 19:39:35.711 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@cda0432
[DEBUG] 2020-02-17 19:39:35.712 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@baf1bb3
[DEBUG] 2020-02-17 19:39:35.712 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@baf1bb3
[DEBUG] 2020-02-17 19:39:35.713 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@ddf20fd
[DEBUG] 2020-02-17 19:39:35.713 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@ddf20fd
[DEBUG] 2020-02-17 19:39:35.714 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4bdcaf36
[DEBUG] 2020-02-17 19:39:35.717 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4bdcaf36
[DEBUG] 2020-02-17 19:39:35.718 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@6ad6fa53
