[DEBUG] 2020-05-10 16:17:02.640 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-05-10 16:17:02.642 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-05-10 16:17:02.652 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-05-10 16:17:02.738 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-05-10 16:17:02.740 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-05-10 16:17:02.978 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-05-10 16:17:02.980 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-05-10 16:17:02.985 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-05-10 16:17:03.249 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-05-10 16:17:03.275 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-05-10 16:17:03.276 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-05-10 16:17:03.300 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-05-10 16:17:03.340 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58516c91
[DEBUG] 2020-05-10 16:17:03.340 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58516c91
[DEBUG] 2020-05-10 16:17:03.340 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58516c91
[DEBUG] 2020-05-10 16:17:03.341 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@96a75da
[DEBUG] 2020-05-10 16:17:03.342 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7f7af971
[DEBUG] 2020-05-10 16:17:03.342 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@554cd74a
[DEBUG] 2020-05-10 16:17:03.343 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@701bc94e
[DEBUG] 2020-05-10 16:17:03.344 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@701bc94e
[DEBUG] 2020-05-10 16:17:03.344 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@701bc94e
[DEBUG] 2020-05-10 16:17:03.345 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1f44ddab
[DEBUG] 2020-05-10 16:17:03.345 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1f44ddab
[DEBUG] 2020-05-10 16:17:03.345 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1f44ddab
[DEBUG] 2020-05-10 16:17:03.346 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5b275174
[DEBUG] 2020-05-10 16:17:03.346 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@5b275174
[DEBUG] 2020-05-10 16:17:03.346 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@5b275174
[DEBUG] 2020-05-10 16:17:03.347 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@59c33386
[DEBUG] 2020-05-10 16:17:03.348 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@59c33386
[DEBUG] 2020-05-10 16:17:03.348 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@59c33386
[DEBUG] 2020-05-10 16:17:03.349 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@736309a9
[DEBUG] 2020-05-10 16:17:03.349 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@736309a9
[DEBUG] 2020-05-10 16:17:03.349 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@736309a9
